# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
 7838.263124 |   0)  compact-3316  | + 13.267 us   |  } /* __alloc_pages_nodemask */
 7838.275122 |   0)  compact-3316  | + 11.530 us   |  } /* __alloc_pages_nodemask */
 7838.278556 |   0)  compact-3316  | + 13.624 us   |  } /* __alloc_pages_nodemask */
 7838.279815 |   0)  compact-3316  | + 10.707 us   |  } /* __alloc_pages_nodemask */
 7838.283124 |   0)  compact-3316  | + 12.747 us   |  } /* __alloc_pages_nodemask */
 7838.287125 |   0)  compact-3316  | + 14.798 us   |  } /* __alloc_pages_nodemask */
 7838.291123 |   0)  compact-3316  | + 12.626 us   |  } /* __alloc_pages_nodemask */
 7838.295123 |   0)  compact-3316  | + 12.417 us   |  } /* __alloc_pages_nodemask */
 7838.303122 |   0)  compact-3316  | + 11.584 us   |  } /* __alloc_pages_nodemask */
 7838.310433 |   0)  compact-3316  | + 10.873 us   |  } /* __alloc_pages_nodemask */
 7838.311173 |   0)  compact-3316  | + 62.348 us   |  } /* __alloc_pages_nodemask */
 7838.319123 |   0)  compact-3316  | + 12.501 us   |  } /* __alloc_pages_nodemask */
 7838.331122 |   0)  compact-3316  | + 11.833 us   |  } /* __alloc_pages_nodemask */
 7838.335124 |   0)  compact-3316  | + 14.023 us   |  } /* __alloc_pages_nodemask */
 7838.341878 |   0)  compact-3316  | + 11.679 us   |  } /* __alloc_pages_nodemask */
 7838.342065 |   0)  compact-3316  | + 12.172 us   |  } /* __alloc_pages_nodemask */
 7838.342841 |   0)  compact-3316  | + 12.842 us   |  } /* __alloc_pages_nodemask */
 7838.343005 |   0)  compact-3316  | + 10.139 us   |  } /* __alloc_pages_nodemask */
 7838.347121 |   0)  compact-3316  | + 10.874 us   |  } /* __alloc_pages_nodemask */
 7838.351123 |   0)  compact-3316  | + 12.593 us   |  } /* __alloc_pages_nodemask */
 7838.359124 |   0)  compact-3316  | + 14.101 us   |  } /* __alloc_pages_nodemask */
 7838.363123 |   0)  compact-3316  | + 12.397 us   |  } /* __alloc_pages_nodemask */
 7838.371123 |   0)  compact-3316  | + 12.471 us   |  } /* __alloc_pages_nodemask */
 7838.375149 |   0)  compact-3316  | + 38.728 us   |  } /* __alloc_pages_nodemask */
 7838.399123 |   0)  compact-3316  | + 12.929 us   |  } /* __alloc_pages_nodemask */
 7838.427122 |   0)  compact-3316  | + 12.038 us   |  } /* __alloc_pages_nodemask */
 7838.437929 |   0)  compact-3316  | + 12.373 us   |  } /* __alloc_pages_nodemask */
 7838.447121 |   0)  compact-3316  | + 11.734 us   |  } /* __alloc_pages_nodemask */
 7838.455123 |   0)  compact-3316  | + 13.032 us   |  } /* __alloc_pages_nodemask */
 7838.459122 |   0)  compact-3316  | + 12.068 us   |  } /* __alloc_pages_nodemask */
 7838.463121 |   0)  compact-3316  | + 11.401 us   |  } /* __alloc_pages_nodemask */
 7838.468517 |   0)  compact-3316  | + 16.776 us   |  } /* __alloc_pages_nodemask */
 7838.500281 |   0)  compact-3316  | + 10.934 us   |  } /* __alloc_pages_nodemask */
 7838.507122 |   0)  compact-3316  | + 11.829 us   |  } /* __alloc_pages_nodemask */
 7838.527123 |   0)  compact-3316  | + 13.854 us   |  } /* __alloc_pages_nodemask */
 7838.530724 |   0)  compact-3316  | + 10.560 us   |  } /* __alloc_pages_nodemask */
 7838.531778 |   0)  compact-3316  | + 11.082 us   |  } /* __alloc_pages_nodemask */
 7838.551123 |   0)  compact-3316  | + 14.313 us   |  } /* __alloc_pages_nodemask */
 7838.555122 |   0)  compact-3316  | + 14.147 us   |  } /* __alloc_pages_nodemask */
 7838.563393 |   0)  compact-3316  | + 12.998 us   |  } /* __alloc_pages_nodemask */
 7838.563597 |   0)  compact-3316  | + 11.392 us   |  } /* __alloc_pages_nodemask */
 7838.567122 |   0)  compact-3316  | + 12.431 us   |  } /* __alloc_pages_nodemask */
 7838.575122 |   0)  compact-3316  | + 13.286 us   |  } /* __alloc_pages_nodemask */
 7838.583121 |   0)  compact-3316  | + 11.513 us   |  } /* __alloc_pages_nodemask */
 7838.591122 |   0)  compact-3316  | + 12.702 us   |  } /* __alloc_pages_nodemask */
 7838.595179 |   0)  compact-3316  | + 15.707 us   |  } /* __alloc_pages_nodemask */
 7838.599123 |   0)  compact-3316  | + 13.615 us   |  } /* __alloc_pages_nodemask */
 7838.603121 |   0)  compact-3316  | + 12.194 us   |  } /* __alloc_pages_nodemask */
 7838.623122 |   0)  compact-3316  | + 13.746 us   |  } /* __alloc_pages_nodemask */
 7838.635124 |   0)  compact-3316  | + 14.357 us   |  } /* __alloc_pages_nodemask */
 7838.651120 |   0)  compact-3316  | + 11.263 us   |  } /* __alloc_pages_nodemask */
 7838.659127 |   0)  compact-3316  | + 18.088 us   |  } /* __alloc_pages_nodemask */
 7838.667121 |   0)  compact-3316  | + 11.809 us   |  } /* __alloc_pages_nodemask */
 7838.679121 |   0)  compact-3316  | + 12.635 us   |  } /* __alloc_pages_nodemask */
 7838.683123 |   0)  compact-3316  | + 14.121 us   |  } /* __alloc_pages_nodemask */
 7838.691161 |   0)  compact-3316  | + 53.015 us   |  } /* __alloc_pages_nodemask */
 7838.703121 |   0)  compact-3316  | + 12.192 us   |  } /* __alloc_pages_nodemask */
 7838.707122 |   0)  compact-3316  | + 13.972 us   |  } /* __alloc_pages_nodemask */
